"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50262.606439,
"AUT","GDP","TOT","USD_CAP","A","2016",51636.986695,
"BEL","GDP","TOT","USD_CAP","A","2016",47372.602502,
"CAN","GDP","TOT","USD_CAP","A","2016",44916.530045,
"CZE","GDP","TOT","USD_CAP","A","2016",35234.017075,
"DNK","GDP","TOT","USD_CAP","A","2016",50685.430829,
"FIN","GDP","TOT","USD_CAP","A","2016",43729.994198,
"FRA","GDP","TOT","USD_CAP","A","2016",42029.852327,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",49921.108137,
"GRC","GDP","TOT","USD_CAP","A","2016",27273.87303,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",26851.624935,
"ISL","GDP","TOT","USD_CAP","A","2016",52340.490639,
"IRL","GDP","TOT","USD_CAP","A","2016",71020.497599,
"ITA","GDP","TOT","USD_CAP","A","2016",39045.171474,
"JPN","GDP","TOT","USD_CAP","A","2016",41138.003461,
"KOR","GDP","TOT","USD_CAP","A","2016",37142.620555,
"LUX","GDP","TOT","USD_CAP","A","2016",104702.347523,
"MEX","GDP","TOT","USD_CAP","A","2016",18968.923105,"P"
"NLD","GDP","TOT","USD_CAP","A","2016",51339.511031,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",38783.732648,
"NOR","GDP","TOT","USD_CAP","A","2016",58121.992256,
"POL","GDP","TOT","USD_CAP","A","2016",27405.564854,
"PRT","GDP","TOT","USD_CAP","A","2016",31041.873367,
"SVK","GDP","TOT","USD_CAP","A","2016",30895.954207,
"ESP","GDP","TOT","USD_CAP","A","2016",36742.506097,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",49083.989701,
"CHE","GDP","TOT","USD_CAP","A","2016",64215.84264,
"TUR","GDP","TOT","USD_CAP","A","2016",26329.753362,
"GBR","GDP","TOT","USD_CAP","A","2016",42942.903859,
"USA","GDP","TOT","USD_CAP","A","2016",57797.462214,
"CHL","GDP","TOT","USD_CAP","A","2016",22760.697131,
"CHN","GDP","TOT","USD_CAP","A","2016",15485.200731,
"COL","GDP","TOT","USD_CAP","A","2016",14277.625807,
"EST","GDP","TOT","USD_CAP","A","2016",30894.950595,
"IND","GDP","TOT","USD_CAP","A","2016",6701.318431,
"IDN","GDP","TOT","USD_CAP","A","2016",11714.411333,
"ISR","GDP","TOT","USD_CAP","A","2016",37524.921867,
"RUS","GDP","TOT","USD_CAP","A","2016",24080.519009,
"SVN","GDP","TOT","USD_CAP","A","2016",33190.576449,
"ZAF","GDP","TOT","USD_CAP","A","2016",13371.648463,
"EU28","GDP","TOT","USD_CAP","A","2016",40220.323216,
"OECD","GDP","TOT","USD_CAP","A","2016",42437.949458,"P"
"OECDE","GDP","TOT","USD_CAP","A","2016",39764.883322,"P"
"LVA","GDP","TOT","USD_CAP","A","2016",25842.558023,
"BRA","GDP","TOT","USD_CAP","A","2016",15385.778312,
"LTU","GDP","TOT","USD_CAP","A","2016",30299.959291,
"SAU","GDP","TOT","USD_CAP","A","2016",54378.699472,
"EA19","GDP","TOT","USD_CAP","A","2016",42823.113222,
"ARG","GDP","TOT","USD_CAP","A","2016",20257.764751,
"CRI","GDP","TOT","USD_CAP","A","2016",16332.4101,
"BGR","GDP","TOT","USD_CAP","A","2016",19500.357176,
"HRV","GDP","TOT","USD_CAP","A","2016",24535.693664,
"CYP","GDP","TOT","USD_CAP","A","2016",33682.424071,
"MLT","GDP","TOT","USD_CAP","A","2016",38312.447019,
"ROU","GDP","TOT","USD_CAP","A","2016",23863.058219,
"MKD","GDP","TOT","USD_CAP","A","2016",14872.346662,"E"
"ZMB","GDP","TOT","USD_CAP","A","2016",3937.429913,
